NOME,ANO_INGRESSO_2021,FASE_2021,NIVEL_IDEAL_2021,PEDRA_2021,IAN_2021,IDA_2021,IEG_2021,IAA_2021,IPS_2021,IPP_2021,IPV_2021,INDE_2021,PONTO_VIRADA_2021,REC_AVA_UNIFICADO,DEFASAGEM_2021
ALUNO-966,2021.0,0.0,2,Quartzo,5.0,0.0,0.0,8.0,7.5,2.5,5.0,3.3,0,Não avaliado,-2.0
ALUNO-969,2021.0,0.0,2,Topázio,5.0,7.7,10.0,9.5,7.5,8.8,9.9,8.596,1,Não avaliado,-2.0
ALUNO-972,2021.0,0.0,1,Topázio,5.0,6.6,10.0,9.5,7.5,8.1,9.6,8.254,1,Não avaliado,-1.0
ALUNO-973,2019.0,1.0,2,Ágata,5.0,2.7,7.9,6.3,6.3,6.9,6.8,5.933,0,Mantido na Fase atual,-1.0
ALUNO-977,2021.0,1.0,2,Ágata,5.0,5.4,7.1,9.0,7.5,5.8,5.1,6.249,0,Mantido na Fase atual,-1.0
ALUNO-983,2018.0,3.0,2,Topázio,10.0,7.2,7.5,7.9,7.5,8.5,9.8,8.296,1,Promovido de Fase + Bolsa,1.0
ALUNO-984,2017.0,1.0,2,Quartzo,5.0,1.1,0.4,9.5,7.5,7.2,4.3,4.081,0,Mantido na Fase atual,-1.0
ALUNO-986,2018.0,4.0,5,Ágata,5.0,6.3,6.4,8.8,1.9,8.3,7.5,6.427,0,Promovido de Fase,-1.0
ALUNO-987,2021.0,0.0,0,Ametista,10.0,6.1,8.3,9.0,7.5,7.2,8.6,7.965,0,Mantido na Fase atual,0.0
ALUNO-989,2020.0,2.0,3,Quartzo,5.0,5.8,3.3,0.0,7.5,7.5,6.9,5.207,0,Mantido na Fase atual,-1.0
ALUNO-991,2019.0,2.0,2,Ametista,10.0,5.2,5.4,9.0,7.5,7.9,7.7,7.107,0,Mantido na Fase atual,0.0
ALUNO-993,2018.0,5.0,5,Ágata,10.0,6.6,3.6,5.4,5.0,7.0,6.3,6.05,0,Mantido na Fase atual,0.0
ALUNO-994,2019.0,2.0,3,Ametista,5.0,7.4,7.5,9.5,7.5,7.5,8.3,7.604,0,Promovido de Fase,-1.0
ALUNO-995,,1.0,2,Ágata,5.0,0.9,5.8,8.0,7.5,7.7,7.9,5.751,0,Mantido na Fase atual,-1.0
ALUNO-996,2018.0,2.0,2,Ametista,10.0,5.6,5.8,9.0,7.5,7.3,6.2,6.892,0,Mantido na Fase atual,0.0
ALUNO-997,2019.0,2.0,2,Topázio,10.0,8.6,10.0,8.5,5.0,7.9,9.5,8.767,1,Mantido na Fase atual,0.0
ALUNO-999,2018.0,3.0,3,Ágata,10.0,6.4,6.1,7.9,4.4,6.9,7.2,6.858,0,Promovido de Fase,0.0
ALUNO-1001,2021.0,0.0,0,Topázio,10.0,6.9,10.0,9.5,7.5,8.4,10.0,8.931,1,Mantido na Fase + Bolsa,0.0
ALUNO-1002,2020.0,3.0,5,Ametista,5.0,7.5,8.3,8.8,7.5,7.7,8.1,7.693,0,Promovido de Fase,-2.0
ALUNO-1004,2020.0,0.0,2,Ametista,5.0,6.4,10.0,10.0,6.9,7.8,6.3,7.506,0,Mantido na Fase atual,-2.0
ALUNO-1007,2019.0,2.0,3,Quartzo,5.0,0.8,1.7,0.0,7.5,7.2,6.5,3.752,0,Não avaliado,-1.0
ALUNO-1009,2021.0,0.0,0,Ametista,10.0,6.3,10.0,7.0,7.5,2.5,7.2,7.4,0,Mantido na Fase atual,0.0
ALUNO-1010,2019.0,1.0,2,Ametista,5.0,5.2,10.0,8.0,7.5,7.5,8.1,7.449,0,Promovido de Fase,-1.0
ALUNO-1013,2021.0,2.0,3,Ametista,5.0,6.1,7.9,9.0,7.5,8.1,7.7,7.292,0,Mantido na Fase atual,-1.0
ALUNO-1014,2019.0,1.0,2,Ametista,5.0,6.3,8.3,9.0,7.5,8.1,8.7,7.636,0,Mantido na Fase atual,-1.0
ALUNO-1015,2018.0,3.0,3,Topázio,10.0,6.9,8.9,9.6,7.5,7.9,9.1,8.475,1,Promovido de Fase,0.0
ALUNO-1016,2019.0,2.0,3,Quartzo,5.0,1.1,0.8,9.0,7.5,7.5,8.3,4.946,0,Promovido de Fase,-1.0
ALUNO-1017,2018.0,3.0,2,Ametista,10.0,5.8,7.2,8.8,7.5,7.9,9.2,7.844,1,Promovido de Fase,1.0
ALUNO-1022,2020.0,1.0,1,Ametista,10.0,1.9,9.2,9.0,7.5,7.7,7.9,7.219,0,Mantido na Fase atual,0.0
ALUNO-1023,2021.0,0.0,1,Ametista,5.0,5.8,10.0,9.0,7.5,7.5,9.2,7.896,1,Mantido na Fase atual,-1.0
ALUNO-1026,2021.0,3.0,3,Ametista,10.0,5.6,6.1,9.6,7.5,7.1,6.2,7.008,0,Mantido na Fase atual,0.0
ALUNO-1027,2016.0,6.0,6,Ágata,10.0,6.8,3.9,7.5,0.0,7.1,5.4,5.672,0,Promovido de Fase,0.0
ALUNO-1028,2019.0,2.0,3,Ametista,5.0,7.1,5.4,8.4,7.5,7.5,7.8,6.917,0,Mantido na Fase atual,-1.0
ALUNO-1029,2019.0,2.0,2,Topázio,10.0,8.4,7.9,9.0,7.5,9.2,9.7,8.782,1,Promovido de Fase + Bolsa,0.0
ALUNO-1031,2020.0,1.0,1,Topázio,10.0,8.1,10.0,9.5,7.5,7.5,9.0,8.863,1,Mantido na Fase atual,0.0
