NOME,ANO_INGRESSO_2020,FASE_2020,PEDRA_2020,IAN_2020,DESTAQUE_IDA_2020,IDA_2020,DESTAQUE_IEG_2020,IEG_2020,IAA_2020,IPS_2020,IPP_2020,DESTAQUE_IPV_2020,IPV_2020,INDE_2020,PONTO_VIRADA_2020
ALUNO-230,2016,3,Quartzo,5.0,0,2.333333333333333,0,6.1,8.75001,4.375,5.833333333333333,0,4.611106666666667,5.0047223333333335,0
ALUNO-231,2019,6,Quartzo,10.0,0,4.333333333333333,0,3.7,8.33334,5.0,7.03125,1,6.5833325,5.959792166666666,0
ALUNO-235,2019,3,Ametista,10.0,1,7.666666666666667,1,9.0,8.333350000000001,7.5,7.5,1,7.2916675,8.125001833333334,0
ALUNO-238,2019,2,Ágata,5.0,0,4.0,1,8.4,9.000020000000001,5.0,5.625,0,7.75,6.492502,0
ALUNO-241,2017,1,Ametista,5.0,1,9.5,1,8.8,9.000020000000001,6.25,2.5,0,6.75,7.285002,0
ALUNO-242,2018,1,Ágata,5.0,0,5.5,0,7.4,9.000020000000001,6.25,7.1875,0,6.916665,6.707085000000001,0
ALUNO-246,2019,1,Ametista,5.0,1,8.0,1,8.3,9.50002,6.875,7.083333333333333,0,7.666666666666666,7.639168666666666,0
ALUNO-251,2019,1,Topázio,10.0,1,10.0,1,8.9,8.500020000000001,7.5,7.291666666666667,1,7.333333333333333,8.575835333333334,0
ALUNO-259,2019,7,Topázio,10.0,1,7.666666666666667,1,9.1,9.16668,7.5,8.75,1,9.2916725,8.753335833333333,1
ALUNO-261,2020,3,Ágata,2.5,0,6.333333333333333,1,8.8,9.16668,7.5,7.5,0,7.79167,7.251668666666667,0
ALUNO-262,2017,5,Ametista,10.0,0,6.666666666666667,1,9.2,7.91667,5.0,9.0625,1,9.250005,8.221251333333335,1
ALUNO-263,2016,5,Ametista,10.0,0,6.333333333333333,1,9.5,9.58335,6.875,8.958333333333332,1,8.388893333333336,8.386113666666667,0
ALUNO-265,2019,4,Ametista,5.0,0,6.0,1,10.0,8.75001,6.875,8.125,0,7.777783333333335,7.630557666666667,0
ALUNO-266,2019,1,Ametista,10.0,1,8.5,1,8.9,8.500020000000001,5.625,8.4375,1,8.0,8.336252,0
ALUNO-267,2018,3,Ametista,5.0,1,8.0,1,9.7,9.16668,5.625,8.958333333333334,0,9.777786666666666,8.370558666666668,1
ALUNO-269,2019,1,Ágata,5.0,0,5.75,1,8.6,7.50002,7.5,7.291666666666667,0,7.5,7.099168666666667,0
ALUNO-270,2017,3,Ágata,10.0,1,8.666666666666666,0,4.2,6.66667,4.375,8.125,1,8.500003333333334,7.1900010000000005,0
ALUNO-273,2018,1,Quartzo,2.5,0,0.0,0,4.4,9.000020000000001,7.5,7.291666666666667,0,4.388883333333333,4.386945333333334,0
ALUNO-274,2018,5,Ágata,5.0,0,3.6666666666666665,0,5.6,7.91667,7.5,7.291666666666667,0,7.444443333333334,6.113055666666667,0
ALUNO-275,2017,3,Ágata,10.0,0,4.333333333333333,0,5.2,10.00002,7.5,6.09375,1,5.666665,6.399376666666667,0
ALUNO-277,2018,1,Ametista,5.0,1,10.0,1,8.4,9.50002,5.625,7.708333333333334,0,7.777773333333332,8.018889999999999,0
ALUNO-278,2019,5,Ametista,5.0,0,7.333333333333333,1,9.6,8.75001,9.375,8.749999999999998,0,8.333333333333334,8.240834333333334,0
ALUNO-280,2018,1,Ágata,5.0,0,6.5,0,6.2,8.500020000000001,5.0,6.5625,0,8.0,6.6462520000000005,0
ALUNO-284,2020,3,Ametista,5.0,1,7.666666666666667,1,9.9,7.91667,7.5,7.96875,0,7.7500025,7.901875833333333,0
ALUNO-285,2020,2,Quartzo,10.0,0,1.0,0,0.0,9.50002,7.5,8.125,1,7.0,5.112502,0
ALUNO-286,2020,1,Ágata,5.0,1,7.5,0,6.0,8.000020000000001,6.875,7.1875,0,7.75,6.956252,0
