NOME,FASE_2020,FASE_2021,FASE_2022,PEDRA_2020,PEDRA_2021,PEDRA_2022,PONTO_VIRADA_2020,PONTO_VIRADA_2021,PONTO_VIRADA_2022,ANO_INGRESSO_2020,ANO_INGRESSO_2021,ANO_INGRESSO_2022,IAN_2020,IAN_2021,IAN_2022,IDA_2020,IDA_2021,IDA_2022,IEG_2020,IEG_2021,IEG_2022,IAA_2020,IAA_2021,IAA_2022,IPS_2020,IPS_2021,IPS_2022,IPP_2020,IPP_2021,IPP_2022,IPV_2020,IPV_2021,IPV_2022,INDE_2020,INDE_2021,INDE_2022
ALUNO-118,1,1.0,1.0,Ametista,Topázio,Topázio,0.0,0.0,1.0,2019.0,2019.0,2019.0,10.0,10.0,5.0,10.0,6.9,9.416666666666668,7.7,9.6,8.38888888888889,8.500020000000001,8.5,10.00002,7.5,7.5,7.5,7.1875,7.5,6.5625,7.416665,8.2,9.33334,8.342085,8.299,8.334031111111113
ALUNO-120,0,1.0,,Ametista,Ametista,,0.0,0.0,,2019.0,2019.0,,5.0,5.0,,9.5,6.1,,10.0,8.3,,9.000020000000001,8.5,,8.125,7.5,,2.5,7.5,,7.666665,6.8,,7.895835000000001,7.096,
ALUNO-125,1,2.0,,Ágata,Ágata,,0.0,0.0,,2020.0,2020.0,,5.0,10.0,,5.0,4.6,,9.0,4.6,,9.000020000000001,6.3,,7.5,7.5,,7.708333333333334,7.9,,7.333333333333333,7.2,,7.187502,6.461,
ALUNO-128,0,0.0,0.0,Quartzo,Quartzo,Ágata,0.0,0.0,0.0,2019.0,2019.0,2019.0,5.0,5.0,5.0,5.5,4.0,6.083333333333333,10.0,6.7,9.45887445887446,7.416679999999999,7.9,9.000020000000001,5.625,4.4,5.625,2.5,2.5,5.0,3.500005,5.6,7.166665,5.854169000000001,5.229,7.00427655844156
ALUNO-132,4,,,Ametista,,,0.0,,,2017.0,,,10.0,,,6.0,,,6.5,,,8.75001,,,7.5,,,8.28125,,,6.95833,,,7.344792,,
ALUNO-133,0,1.0,1.0,Ametista,Ametista,Ametista,0.0,0.0,0.0,2019.0,2019.0,2019.0,5.0,5.0,5.0,10.0,7.1,7.166666666666666,9.8,9.6,9.116541353383456,10.00002,9.5,8.000020000000001,7.5,7.5,6.875,7.1875,7.7,5.3125,7.5,8.4,7.583335,8.428752,7.99,7.292060604010025
ALUNO-135,1,1.0,1.0,Ametista,Ágata,Quartzo,0.0,0.0,0.0,2019.0,2019.0,2019.0,10.0,5.0,5.0,6.5,3.6,2.416666666666667,8.4,4.2,4.75108225108225,9.000020000000001,9.5,9.000020000000001,7.5,6.3,5.0,7.1875,6.9,5.625,7.25,7.3,6.833326666666666,7.798752,5.788,5.262717116883117
ALUNO-136,5,,,Quartzo,,,0.0,,,2018.0,,,5.0,,,2.0,,,4.0,,,7.5,,,4.375,,,6.666666666666667,,,5.444446666666667,,,4.643056,,
ALUNO-139,5,,,Ágata,,,0.0,,,2020.0,,,5.0,,,4.333333333333333,,,5.8,,,9.16668,,,7.5,,,8.125,,,5.499996666666667,,,6.105834000000001,,
ALUNO-145,7,,,Ametista,,,1.0,,,2019.0,,,10.0,,,7.333333333333333,,,9.1,,,7.91667,,,7.5,,,7.5,,,8.8333375,,,8.345001166666666,,
ALUNO-146,1,,,Ágata,,,0.0,,,2018.0,,,10.0,,,0.0,,,7.2,,,10.00002,,,7.5,,,7.291666666666667,,,7.333333333333333,,,6.385835333333334,,
ALUNO-147,2,,,Quartzo,,,0.0,,,2019.0,,,5.0,,,0.0,,,8.0,,,9.000020000000001,,,7.5,,,7.291666666666667,,,7.277776666666666,,,5.934724000000001,,
ALUNO-149,6,7.0,,Ágata,Topázio,,0.0,1.0,,2019.0,2019.0,,10.0,10.0,,3.0,7.4,,8.7,8.1,,7.5,8.8,,5.625,6.9,,8.125,8.3,,8.333335,9.4,,7.131667,8.36,
ALUNO-151,1,2.0,3.0,Ametista,Topázio,Topázio,0.0,1.0,0.0,2019.0,2019.0,2019.0,5.0,5.0,10.0,7.5,9.1,7.900000000000001,9.5,9.6,8.436240842490841,9.50002,9.5,8.33334,7.5,8.1,6.875,9.166666666666666,10.0,8.125,8.611113333333334,10.0,8.125,8.238891333333333,9.004,8.225582168498168
ALUNO-152,3,3.0,4.0,Ametista,Topázio,Ametista,0.0,1.0,0.0,2019.0,2019.0,2019.0,10.0,10.0,10.0,6.333333333333333,8.0,7.644444444444443,9.0,8.3,7.806870995242416,6.24999,8.8,8.75001,7.5,7.5,5.0,7.96875,8.3,7.03125,8.6250075,9.8,7.2499975,7.963542166666667,8.672,7.618388587937373
ALUNO-153,4,4.0,5.0,Ametista,Topázio,Topázio,1.0,1.0,1.0,2017.0,2017.0,2017.0,10.0,10.0,10.0,4.666666666666667,7.5,8.700000000000001,9.0,7.5,9.09722222222222,10.00002,10.0,10.00002,7.5,7.5,8.125,8.59375,8.0,8.75,9.1250075,9.0,9.2916725,8.167711833333334,8.355,9.105280944444443
ALUNO-154,1,1.0,1.0,Quartzo,Quartzo,Quartzo,0.0,0.0,0.0,2019.0,2019.0,2019.0,5.0,5.0,5.0,0.0,1.5,3.75,7.1,2.9,3.797498797498797,8.500020000000001,9.5,3.49998,7.5,7.5,7.5,7.8125,8.1,6.25,7.916665,6.3,5.999996666666666,5.884585,5.163,4.934497092833093
ALUNO-156,2,3.0,4.0,Ágata,Ametista,Ametista,0.0,0.0,0.0,2018.0,2018.0,2018.0,5.0,10.0,10.0,5.0,7.3,6.599999999999999,8.9,7.8,8.159632034632034,7.916679999999999,7.5,7.91667,7.5,6.3,5.0,6.666666666666667,8.3,7.5,8.11111,8.8,7.7083325,7.110556666666668,7.981,7.535259906926407
ALUNO-157,1,,,Ágata,,,0.0,,,2019.0,,,5.0,,,6.75,,,6.4,,,9.50002,,,7.5,,,7.916666666666668,,,7.777776666666667,,,7.177224000000001,,
ALUNO-158,3,4.0,4.0,Quartzo,Ágata,Quartzo,0.0,0.0,0.0,2018.0,2018.0,2018.0,5.0,5.0,5.0,5.0,4.5,4.111111111111112,5.9,6.1,4.747740005092947,9.16668,8.3,8.33334,3.75,6.9,5.0,7.708333333333334,6.9,7.1875,6.611103333333333,6.1,6.49999,6.064722,6.056,5.623852223240812
ALUNO-160,1,,,Quartzo,,,0.0,,,2018.0,,,5.0,,,0.0,,,2.3,,,8.000020000000001,,,5.0,,,7.291666666666667,,,7.444443333333333,,,4.478057333333334,,
ALUNO-161,8,,,Ametista,,,0.0,,,2016.0,,,10.0,,,9.0,,,10.0,,,7.91667,,,7.5,,,0.0,,,0.0,,,8.891667,,
ALUNO-162,1,1.0,,Ametista,Ametista,,0.0,0.0,,2018.0,2018.0,,5.0,5.0,,8.5,6.6,,8.8,10.0,,8.500020000000001,8.5,,7.5,7.5,,8.4375,7.5,,7.75,6.8,,7.953752000000001,7.531,
ALUNO-163,1,,,Ágata,,,0.0,,,2017.0,,,5.0,,,6.25,,,8.2,,,7.50002,,,5.0,,,2.5,,,7.75,,,6.440002,,
